"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
12,7,"EV","ROC","DTW",-20,0,NA,NA,NA,NA,NA,0
6,1,"EV","LGA","LEX",12,0,NA,NA,NA,NA,NA,0
7,2,"EV","LGA","LEX",63,1,0,0,0,0,63,0
2,4,"EV","LGA","LEX",17,1,0,0,0,0,17,0
1,3,"EV","LGA","LEX",-17,0,NA,NA,NA,NA,NA,0
8,3,"EV","LGA","BHM",73,1,0,0,10,0,63,0
2,4,"EV","LGA","BHM",7,0,NA,NA,NA,NA,NA,0
7,2,"EV","LGA","BHM",78,1,0,0,3,0,75,0
1,3,"EV","LGA","BHM",-35,0,NA,NA,NA,NA,NA,0
3,5,"EV","LGA","BHM",-19,0,NA,NA,NA,NA,NA,0
6,1,"EV","LGA","BHM",-3,0,NA,NA,NA,NA,NA,0
5,7,"EV","LGA","BHM",NA,NA,NA,NA,NA,NA,NA,0
8,3,"EV","LGA","BHM",180,1,37,0,38,0,105,0
3,5,"EV","LGA","BHM",34,1,0,0,0,0,34,0
5,7,"EV","LGA","BHM",5,0,NA,NA,NA,NA,NA,0
7,2,"EV","LGA","BHM",-6,0,NA,NA,NA,NA,NA,0
1,3,"EV","LGA","BHM",-10,0,NA,NA,NA,NA,NA,0
2,4,"EV","LGA","BHM",24,1,0,0,24,0,0,0
6,1,"EV","LGA","BHM",8,0,NA,NA,NA,NA,NA,0
6,1,"EV","GRR","LGA",181,1,134,0,2,0,45,0
8,3,"EV","GRR","LGA",77,1,0,0,12,0,65,0
3,5,"EV","GRR","LGA",-4,0,NA,NA,NA,NA,NA,0
2,4,"EV","GRR","LGA",-33,0,NA,NA,NA,NA,NA,0
7,2,"EV","GRR","LGA",-4,0,NA,NA,NA,NA,NA,0
1,3,"EV","GRR","LGA",-16,0,NA,NA,NA,NA,NA,0
5,7,"EV","GRR","LGA",15,1,0,0,15,0,0,0
3,5,"EV","LGA","CHS",125,1,0,0,0,0,125,0
8,3,"EV","ELM","DTW",-12,0,NA,NA,NA,NA,NA,0
5,7,"EV","ELM","DTW",-10,0,NA,NA,NA,NA,NA,0
1,3,"EV","ELM","DTW",-22,0,NA,NA,NA,NA,NA,0
3,5,"EV","ELM","DTW",-9,0,NA,NA,NA,NA,NA,0
7,2,"EV","ELM","DTW",-13,0,NA,NA,NA,NA,NA,0
4,6,"EV","ELM","DTW",-16,0,NA,NA,NA,NA,NA,0
2,4,"EV","ELM","DTW",-23,0,NA,NA,NA,NA,NA,0
6,1,"EV","ELM","DTW",-15,0,NA,NA,NA,NA,NA,0
6,1,"F9","ATL","LGA",-24,0,NA,NA,NA,NA,NA,0
6,1,"F9","LGA","MIA",-57,0,NA,NA,NA,NA,NA,0
6,1,"F9","MIA","LGA",-23,0,NA,NA,NA,NA,NA,0
6,1,"F9","LGA","ATL",-22,0,NA,NA,NA,NA,NA,0
6,1,"F9","DEN","LGA",-33,0,NA,NA,NA,NA,NA,0
6,1,"F9","LGA","DEN",-21,0,NA,NA,NA,NA,NA,0
7,2,"F9","ATL","LGA",10,0,NA,NA,NA,NA,NA,0
7,2,"F9","LGA","MIA",3,0,NA,NA,NA,NA,NA,0
7,2,"F9","MIA","LGA",15,1,0,0,15,0,0,0
7,2,"F9","LGA","ATL",-16,0,NA,NA,NA,NA,NA,0
7,2,"F9","DEN","LGA",81,1,0,0,81,0,0,0
7,2,"F9","LGA","DEN",60,1,0,0,28,0,32,0
3,5,"F9","ATL","LGA",-5,0,NA,NA,NA,NA,NA,0
3,5,"F9","LGA","MIA",-27,0,NA,NA,NA,NA,NA,0
3,5,"F9","MIA","LGA",-23,0,NA,NA,NA,NA,NA,0
3,5,"F9","LGA","ATL",30,1,30,0,0,0,0,0
3,5,"F9","DEN","LGA",9,0,NA,NA,NA,NA,NA,0
3,5,"F9","LGA","DEN",-21,0,NA,NA,NA,NA,NA,0
4,6,"F9","DEN","LGA",-4,0,NA,NA,NA,NA,NA,0
4,6,"F9","LGA","DEN",-15,0,NA,NA,NA,NA,NA,0
4,6,"F9","ATL","LGA",-1,0,NA,NA,NA,NA,NA,0
4,6,"F9","LGA","MIA",-53,0,NA,NA,NA,NA,NA,0
4,6,"F9","MIA","LGA",-13,0,NA,NA,NA,NA,NA,0
4,6,"F9","LGA","ATL",78,1,0,0,78,0,0,0
5,7,"F9","ATL","LGA",16,1,16,0,0,0,0,0
5,7,"F9","LGA","MIA",-45,0,NA,NA,NA,NA,NA,0
5,7,"F9","MIA","LGA",NA,NA,NA,NA,NA,NA,NA,1
5,7,"F9","LGA","ATL",307,1,0,0,0,0,307,0
5,7,"F9","DEN","LGA",21,1,0,0,10,0,11,0
5,7,"F9","LGA","DEN",11,0,NA,NA,NA,NA,NA,0
14,2,"F9","ATL","LGA",-6,0,NA,NA,NA,NA,NA,0
14,2,"F9","LGA","MIA",-32,0,NA,NA,NA,NA,NA,0
14,2,"F9","MIA","LGA",-28,0,NA,NA,NA,NA,NA,0
14,2,"F9","LGA","ATL",21,1,0,0,21,0,0,0
14,2,"F9","DEN","LGA",63,1,4,0,0,0,59,0
14,2,"F9","LGA","DEN",49,1,0,0,0,0,49,0
15,3,"F9","ATL","LGA",-18,0,NA,NA,NA,NA,NA,0
15,3,"F9","LGA","MIA",-9,0,NA,NA,NA,NA,NA,0
15,3,"F9","MIA","LGA",-19,0,NA,NA,NA,NA,NA,0
15,3,"F9","LGA","ATL",3,0,NA,NA,NA,NA,NA,0
15,3,"F9","DEN","LGA",37,1,3,0,19,0,15,0
15,3,"F9","LGA","DEN",39,1,0,0,22,0,17,0
10,5,"F9","DEN","LGA",-15,0,NA,NA,NA,NA,NA,0
10,5,"F9","LGA","DEN",-36,0,NA,NA,NA,NA,NA,0
10,5,"F9","ATL","LGA",-18,0,NA,NA,NA,NA,NA,0
10,5,"F9","LGA","MIA",-31,0,NA,NA,NA,NA,NA,0
10,5,"F9","MIA","LGA",73,1,0,0,73,0,0,0
10,5,"F9","LGA","ATL",101,1,49,0,52,0,0,0
11,6,"F9","DEN","LGA",5,0,NA,NA,NA,NA,NA,0
11,6,"F9","LGA","DEN",2,0,NA,NA,NA,NA,NA,0
11,6,"F9","ATL","LGA",10,0,NA,NA,NA,NA,NA,0
11,6,"F9","LGA","MIA",-31,0,NA,NA,NA,NA,NA,0
11,6,"F9","MIA","LGA",23,1,0,0,23,0,0,0
11,6,"F9","LGA","ATL",-19,0,NA,NA,NA,NA,NA,0
12,7,"F9","DEN","LGA",25,1,0,0,25,0,0,0
12,7,"F9","LGA","DEN",16,1,0,0,0,0,16,0
12,7,"F9","ATL","LGA",14,0,NA,NA,NA,NA,NA,0
12,7,"F9","LGA","MIA",-39,0,NA,NA,NA,NA,NA,0
12,7,"F9","MIA","LGA",37,1,0,0,37,0,0,0
12,7,"F9","LGA","ATL",-3,0,NA,NA,NA,NA,NA,0
13,1,"F9","DEN","LGA",-1,0,NA,NA,NA,NA,NA,0
13,1,"F9","LGA","DEN",37,1,0,0,37,0,0,0
13,1,"F9","ATL","LGA",7,0,NA,NA,NA,NA,NA,0
13,1,"F9","LGA","MIA",-25,0,NA,NA,NA,NA,NA,0
13,1,"F9","MIA","LGA",23,1,1,0,22,0,0,0
13,1,"F9","LGA","ATL",3,0,NA,NA,NA,NA,NA,0
21,2,"F9","DEN","LGA",67,1,0,0,62,0,5,0
21,2,"F9","LGA","DEN",76,1,11,0,1,0,64,0
21,2,"F9","ATL","LGA",-6,0,NA,NA,NA,NA,NA,0
21,2,"F9","LGA","MIA",4,0,NA,NA,NA,NA,NA,0
21,2,"F9","MIA","LGA",77,1,0,0,77,0,0,0
21,2,"F9","LGA","ATL",58,1,10,0,17,0,31,0
22,3,"F9","DEN","LGA",-2,0,NA,NA,NA,NA,NA,0
22,3,"F9","LGA","DEN",-3,0,NA,NA,NA,NA,NA,0
22,3,"F9","ATL","LGA",-4,0,NA,NA,NA,NA,NA,0
22,3,"F9","LGA","MIA",-27,0,NA,NA,NA,NA,NA,0
22,3,"F9","MIA","LGA",-18,0,NA,NA,NA,NA,NA,0
22,3,"F9","LGA","ATL",-12,0,NA,NA,NA,NA,NA,0
23,4,"F9","ATL","LGA",68,1,33,0,35,0,0,0
23,4,"F9","LGA","MIA",89,1,8,0,48,0,33,0
23,4,"F9","MIA","LGA",124,1,0,0,83,0,41,0
23,4,"F9","LGA","ATL",119,1,1,0,13,0,105,0
23,4,"F9","DEN","LGA",139,1,0,0,139,0,0,0
23,4,"F9","LGA","DEN",123,1,0,0,79,0,44,0
8,3,"F9","DEN","LGA",9,0,NA,NA,NA,NA,NA,0
